poll_id,survey_id,survey_template_session_id,company_id,created_at,text
26,484,45,5,2016-08-25 08:57:09 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
29,484,45,5,2016-08-25 08:57:15 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
35,480,44,5,2016-08-25 08:58:18 UTC,"Your answer is 100% private & anonymous.
"
26,485,45,5,2016-08-25 08:58:41 UTC,"Answers to this survey are not anonymous and your name will be shown next to the answer
"
29,485,45,5,2016-08-25 08:58:47 UTC,"Answers to this survey are not anonymous and your name will be shown next to the answer
"
35,477,44,5,2016-08-25 09:24:30 UTC,Your answer is 100% private & anonymous.
26,482,45,5,2016-08-25 09:24:47 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
29,482,45,5,2016-08-25 09:24:51 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
87,539,46,3,2016-08-26 11:51:52 UTC,Better Software Faster
87,544,46,3,2016-08-26 12:33:11 UTC,Opportunity of thinking and bringing ideas to life
14,6,10,5,2016-06-01 15:51:38 UTC,vccvbc
14,8,10,5,2016-06-01 16:08:18 UTC,ооо
32,17,13,3,2016-06-06 16:56:45 UTC,yes it does
23,484,45,5,2016-08-25 08:57:06 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
47,480,44,5,2016-08-25 08:58:20 UTC,"Your answer is 100% private & anonymous.
"
23,485,45,5,2016-08-25 08:58:38 UTC,"Answers to this survey are not anonymous and your name will be shown next to the answer
"
47,477,44,5,2016-08-25 09:24:32 UTC,Your answer is 100% private & anonymous.
23,482,45,5,2016-08-25 09:24:45 UTC,Answers to this survey are not anonymous and your name will be shown next to the answer
87,508,46,3,2016-08-26 11:45:26 UTC,"modern, close, techy"
87,511,46,3,2016-08-26 11:47:52 UTC,I don't know
87,537,46,3,2016-08-26 11:49:49 UTC,"Commitment, knowledge, trust."
87,513,46,3,2016-08-26 11:51:28 UTC,"Organization, Team, Result"
87,538,46,3,2016-08-26 11:54:56 UTC,I don't know 
87,514,46,3,2016-08-26 12:22:19 UTC,"friendly, goal-oriented, openminded"
87,497,46,3,2016-08-26 15:03:09 UTC,"Independence, Technology, Client-oriented"
94,652,51,3,2016-09-02 11:08:42 UTC,weekly
96,652,51,3,2016-09-02 11:09:13 UTC,Interesting project or salary
94,647,51,3,2016-09-02 11:23:14 UTC,Every day
95,691,51,3,2016-09-02 11:29:40 UTC,nothing
96,691,51,3,2016-09-02 11:31:02 UTC,more interesting/challenging activities
96,679,51,3,2016-09-02 11:41:55 UTC,Salary
64,285,38,3,2016-08-12 07:22:56 UTC,pretty often I think
68,277,38,3,2016-08-12 07:23:24 UTC,"seems I know everything I should know, thanks"
67,285,38,3,2016-08-12 07:23:37 UTC,don't know
64,328,38,3,2016-08-12 07:25:35 UTC,once in a few months
65,319,38,3,2016-08-12 07:41:58 UTC,None
66,319,38,3,2016-08-12 07:47:24 UTC,None
68,319,38,3,2016-08-12 07:48:34 UTC,How we are doing in terms of revenue success
64,294,38,3,2016-08-12 08:12:48 UTC,always
65,294,38,3,2016-08-12 08:13:34 UTC,No
64,307,38,3,2016-08-12 08:15:19 UTC,almost always
65,307,38,3,2016-08-12 08:16:09 UTC,I think I know enough
66,294,38,3,2016-08-12 08:17:38 UTC,not any
68,307,38,3,2016-08-12 08:33:57 UTC,"I'm not sure, I think I know enough"
64,317,38,3,2016-08-12 09:35:03 UTC,sometimes
68,317,38,3,2016-08-12 09:36:40 UTC,about what?
64,271,38,3,2016-08-12 12:41:00 UTC,50/50
65,264,38,3,2016-08-12 12:41:55 UTC,There are not such thinghs
65,271,38,3,2016-08-12 12:42:18 UTC,"Yes. New hires, management people, new leads, organizational structure changes, etc"
66,271,38,3,2016-08-12 12:42:31 UTC,Bigger vacation
94,700,51,3,2016-09-02 11:47:22 UTC,once a month
95,700,51,3,2016-09-02 11:47:30 UTC,nothing
94,725,51,3,2016-09-02 12:34:09 UTC,Once a week
96,725,51,3,2016-09-02 12:35:11 UTC,Start my own company
95,647,51,3,2016-09-02 12:41:24 UTC,"It's a very good idea to have such newsletter. Now I know more about what's happening in our company and what happens in my teammates' personal life.
I can only suggest providing more info about achievements of my colleagues."
94,643,51,3,2016-09-02 13:29:01 UTC,Once a month
95,643,51,3,2016-09-02 13:29:18 UTC,It looks good
96,639,51,3,2016-09-02 13:44:29 UTC,hard to say
87,549,46,3,2016-09-02 14:10:01 UTC,"professionalism, large-scale, internationalism"
95,636,51,3,2016-09-02 14:38:23 UTC,"Nothing, it is a very informative and interesting"
96,636,51,3,2016-09-02 14:39:37 UTC,Being torn apart between different roles and assignments instead of focusing on your direct responsibilities 
95,652,51,3,2016-09-02 11:08:49 UTC,- 
94,691,51,3,2016-09-02 11:29:27 UTC,monthly
94,679,51,3,2016-09-02 11:40:55 UTC,Once an a month
95,679,51,3,2016-09-02 11:41:21 UTC,Everything is good 
96,700,51,3,2016-09-02 11:47:52 UTC,there is no reason right now
94,678,51,3,2016-09-02 12:06:57 UTC,Weekly
95,678,51,3,2016-09-02 12:07:33 UTC,"Have no idea for the moment, maybe more spell checking"
96,678,51,3,2016-09-02 12:10:45 UTC,N/a
95,725,51,3,2016-09-02 12:34:23 UTC,Not sure
96,647,51,3,2016-09-02 12:44:12 UTC,"No projects with innovative design. 
No design concepts are created before the work on project is started.
No sense of company's values (what are they, btw?), no clear corporate mission."
96,643,51,3,2016-09-02 13:29:40 UTC,I want to stay :) 
94,639,51,3,2016-09-02 13:42:54 UTC,weekly
95,639,51,3,2016-09-02 13:43:05 UTC,nothing
94,636,51,3,2016-09-02 14:38:03 UTC,Monthly
87,550,46,3,2016-08-29 06:59:19 UTC,I don't know
70,384,30,3,2016-08-19 09:43:40 UTC,Depends on project
72,432,30,3,2016-08-19 09:43:59 UTC,no
72,384,30,3,2016-08-19 09:44:16 UTC,Yes
87,487,46,3,2016-08-29 08:16:26 UTC,"professionalism, evolution, comfort"
71,384,30,3,2016-08-19 09:43:54 UTC,50/50
32,233,2,5,2016-07-18 14:04:07 UTC,asdasdas
35,233,2,5,2016-07-18 14:04:09 UTC,asdasds
32,237,3,5,2016-07-18 14:05:08 UTC,sadasda
35,237,3,5,2016-07-18 14:05:10 UTC,asdasd
47,17,13,3,2016-06-06 16:58:08 UTC,I'm looking forward to attending​ in next one!
32,19,13,3,2016-06-07 07:55:43 UTC,yes
47,19,13,3,2016-06-07 07:57:28 UTC,IDK what is happy hours)
32,18,13,3,2016-06-07 08:55:41 UTC,"yes, we have English lessons"
70,362,30,3,2016-08-19 09:44:56 UTC,soso
71,362,30,3,2016-08-19 09:46:17 UTC,Not so big
72,362,30,3,2016-08-19 09:46:41 UTC,"fyuy,gf"
70,436,30,3,2016-08-19 10:32:22 UTC,I am absolutely satisfied 
71,436,30,3,2016-08-19 10:33:18 UTC,I do promote this company among my friends =)
72,436,30,3,2016-08-19 10:34:11 UTC,"Yes, we are. we use react, going to use go, etc"
70,381,30,3,2016-08-19 11:29:00 UTC,normal
71,381,30,3,2016-08-19 11:29:34 UTC,very much
72,381,30,3,2016-08-19 11:29:56 UTC,"no, I think we're awesome"
70,447,30,3,2016-08-19 11:35:39 UTC,Absolutely satisfied
47,18,13,3,2016-06-07 08:57:39 UTC,"Unfortunately had to skip last , but hope will take part in the next one."
32,21,13,3,2016-06-07 10:22:35 UTC,No. I would like to attend some automation testing training 
47,21,13,3,2016-06-07 10:24:55 UTC,Doesn't matter
59,212,15,3,2016-07-15 09:51:39 UTC,I don't know what projects. Sphere can give employees time to contribute to open source projects and employees will choose on their own.
61,212,15,3,2016-07-15 09:52:07 UTC,never
59,137,15,3,2016-07-15 09:52:24 UTC,That we will use themselves
62,212,15,3,2016-07-15 09:52:32 UTC,just work
61,137,15,3,2016-07-15 09:53:03 UTC,Don't remember
62,137,15,3,2016-07-15 09:53:17 UTC,All is good
